OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,Shape__Area,Shape__Length
28,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,3892053a-309c-41f2-87da-b47b17fa7bc4,9,SAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAMA/Metadata/sama_metadata.xml,Salem Maritime National Historic Site,2010/03/25 00:00:00+00,MA,NE,1888961,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049237,Salem Maritime,70391.61328125,3446.50944258188
29,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,9c389fca-d3de-4531-873e-de100d1f8202,10,SAIR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAIR/Metadata/sair_metadata.xml,Saugus Iron Works National Historic Site,2014/06/09 00:00:00+00,MA,NE,600017,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210711,Saugus Iron Works,94291.5390625,2038.4528735016
30,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,e48bcdad-2e91-419e-a7b1-de176fb73676,11,CACO,Lands - http://landsnet.nps.gov/tractsnet/documents/CACO/Metadata/caco_metadata.xml,Cape Cod National Seashore,2016/03/24 00:00:00+00,MA,NE,606900,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229062,Cape Cod,324147362.359375,261994.390347413
31,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,cc60a38b-73e0-4be6-9dde-6da4f0005649,12,ELRO,Lands - http://landsnet.nps.gov/tractsnet/documents/ELRO/Metadata/elro_metadata.xml,Eleanor Roosevelt National Historic Site,2011/04/22 00:00:00+00,NY,NE,1888914,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171829,Eleanor Roosevelt,1291438.3515625,5804.85030141976
32,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,08c67df5-021d-4aea-9107-727098edb891,13,LONG,Lands - http://landsnet.nps.gov/tractsnet/documents/LONG/Metadata/long_metadata.xml,Longfellow House-Washington's Headquarters National Historic Site,2011/04/18 00:00:00+00,MA,NE,2733437,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180626,Longfellow,14414.01171875,488.006767951491
33,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,9a0cc37d-7bb0-430b-b234-47649c06faa1,15,GATE,Lands - http://landsnet.nps.gov/tractsnet/documents/GATE/Metadata/gate_metadata.xml,Gateway National Recreation Area,2015/12/31 00:00:00+00,NJ,NE,882894,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225694,Gateway,190685391.371094,146371.440565888
34,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,f5ae67af-e84b-46a9-be99-1b5d004c1a7a,16,SAPA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,1888959,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048042,Saint Paul's Church,43929.203125,866.346505661578
35,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,d346200d-97b4-48d4-8e80-feba1b66cd04,17,THRI,Lands - http://landsnet.nps.gov/tractsnet/documents/THRI/Metadata/thri_metadata.xml,Theodore Roosevelt Inaugural National Historic Site,2015/08/28 00:00:00+00,NY,NE,2035603,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224527,Theodore Roosevelt Inaugural,8874.44921875,431.649729196901
36,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,f20fdcf8-de97-40a3-bf7a-53e30a68a4d3,18,FOST,Lands - http://landsnet.nps.gov/tractsnet/documents/FOST/Metadata/fost_metadata.xml,Fort Stanwix National Monument,2010/07/08 00:00:00+00,NY,NE,1888919,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165601,Fort Stanwix,127551.01953125,1435.74019758755
37,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,a2cbe1a8-e503-4100-92bb-c7cf9a7646a2,19,FIIS,Unofficial Boundary of Fire Island National Seashore.,Fire Island National Seashore,2013/12/18 00:00:00+00,NY,NE,970121,National Seashore,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Fire Island,138877039.082031,140263.573378074
38,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,943d7913-592f-4a97-a970-ebf0c63c5e8e,20,HOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFR/Metadata/hofr_metadata.xml,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,1888929,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047983,Home of Franklin D Roosevelt,6542741.75,19536.1432849485
39,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,5ea56914-f0ef-49ce-b48b-11aed29eed60,21,VAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/VAMA/Metadata/vama_metadata.xml,Vanderbilt Mansion National Historic Site,2015/07/24 00:00:00+00,NY,NE,968452,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224528,Vanderbilt Mansion,1534826.25390625,8133.1144305161
40,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,447c4e93-8ab4-49eb-8d9e-6861f2a1fdb9,22,SARA,Lands - http://landsnet.nps.gov/tractsnet/documents/SARA/Metadata/sara_metadata.xml,Saratoga National Historical Park,2021/03/23 00:00:00+00,NY,NE,964487,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215979,Saratoga,26899681.6132813,38311.5145956949
41,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,d850f5df-0a4d-495a-9117-3870f05878ab,23,SAGA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGA/Metadata/saga_metadata.xml,Saint-Gaudens National Historical Park,2011/03/09 00:00:00+00,NH,NE,1888960,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171112,Saint-Gaudens,1449352,13228.9794194975
42,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,0e1f498a-1b4d-4388-90d5-4d14ec62edab,24,STLI,Lands - http://landsnet.nps.gov/tractsnet/documents/STLI/Metadata/stli_metadata.xml,Statue of Liberty National Monument,2016/05/06 00:00:00+00,NJ,NE,880864,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230266,Statue Of Liberty,486582.484375,4452.4562881795
43,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,985b8e98-cbdb-4e7d-ac18-cd1b9a6a491c,25,EDIS,Lands - http://landsnet.nps.gov/tractsnet/documents/EDIS/Metadata/edis_metadata.xml,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,874901,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048152,Thomas Edison,147844.25390625,2565.21877758081
44,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2fa8465f-591b-40d6-9818-1ed3f5b9f9fb,26,MORR,Lands - http://landsnet.nps.gov/tractsnet/documents/MORR/Metadata/morr_metadata.xml,Morristown National Historical Park,2012/02/23 00:00:00+00,NJ,NE,878495,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188829,Morristown,11942535.09375,35698.864349582
45,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,1fed21ea-e39f-4fdb-8f2d-2fb5aec5d57a,27,THRB,Lands - http://landsnet.nps.gov/tractsnet/documents/THRB/Metadata/thrb_metadata.xml,Theodore Roosevelt Birthplace National Historic Site,2011/03/28 00:00:00+00,NY,NE,2083047,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171836,Theodore Roosevelt Birthplace,745.1484375,114.339082713672
46,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,11ba0cb0-b882-4bce-bf11-b8e91f0908c8,28,CACL,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,Castle Clinton National Monument,2007/02/16 00:00:00+00,NY,NE,945983,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047919,Castle Clinton,8988.78125,351.834346532362
47,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,e7aba62d-cdcb-4491-b88d-c0ee12f2a4c6,29,FEHA,Lands - http://landsnet.nps.gov/tractsnet/documents/FEHA/Metadata/feha_metadata.xml,Federal Hall National Memorial,2017/03/30 00:00:00+00,NY,NE,2057537,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210702,Federal Hall,3743.23828125,256.848961343479
48,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,182eaa4f-acf5-4b16-9148-fcddcc02e778,30,GEGR,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,General Grant National Memorial,2013/07/22 00:00:00+00,NY,NE,2733424,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221818,General Grant,5124.7109375,299.132817912841
49,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,b24677b8-219f-421f-bb1c-9d6739ced839,31,HAGR,Lands - http://landsnet.nps.gov/tractsnet/documents/HAGR/Metadata/hagr_metadata.xml,Hamilton Grange National Memorial,2016/03/28 00:00:00+00,NY,NE,2083660,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047980,Hamilton Grange,12400.37890625,763.259575017608
50,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,b35cab38-624a-4f46-8094-4efc135b30d5,32,SAHI,Lands - http://landsnet.nps.gov/tractsnet/documents/SAHI/Metadata/sahi_metadata.xml,Sagamore Hill National Historic Site,2011/07/29 00:00:00+00,NY,NE,970557,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175728,Sagamore Hill,586867.96875,6137.98933299429
51,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,5c6736ed-2bbe-40ef-963e-0e6a9e7860f2,33,BOAF,Lands - http://landsnet.nps.gov/tractsnet/documents/BOAF/Metadata/boaf_metadata.xml,Boston African American National Historic Site,2009/03/12 00:00:00+00,MA,NE,1888904,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048143,Boston African American,4361.30078125,852.333596740252
52,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,111f8965-be69-4bc2-9550-38c9c351a3c3,35,AFBG,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048074,African Burial Ground,2425.17578125,202.497940106985
53,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,3a2732b3-f0fc-4ab1-95fb-bd5a4a3e0dce,36,GOIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GOIS/Metadata/gois_metadata.xml,Governors Island National Monument,2012/08/15 00:00:00+00,NY,NE,2092022,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188823,Governors Island,160551.89453125,2618.47663757796
54,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,70d48cbb-9a81-44db-a08d-341560d7c107,37,LOWE,Unofficial Boundary of Lowell National Historical Park.,Lowell National Historical Park,2013/12/18 00:00:00+00,MA,NE,1888940,National Historical Park,RISD,Preliminary data. Contact the Land Resources Program for additional information.,Lowell,896082.3203125,28370.9681061424
55,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,cc0f1b32-11e6-43c3-9658-c10a655eef4a,38,ROWI,Lands - http://landsnet.nps.gov/tractsnet/documents/ROWI/Metadata/rowi_metadata.xml,Roger Williams National Memorial,2011/09/30 00:00:00+00,RI,NE,1904107,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215978,Roger Williams,33122.515625,986.148595396038
56,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,72fda749-0204-42b5-b235-5bbc6866e2d5,40,NEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/NEBE/Metadata/nebe_metadata.xml,New Bedford Whaling National Historical Park,2011/07/15 00:00:00+00,MA,NE,2733436,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175722,New Bedford Whaling,225913.578125,2356.79662419693
57,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,1be4dafb-63d0-4828-b526-8cf0ab6bce6a,42,WEFA,Lands - http://landsnet.nps.gov/tractsnet/documents/WEFA/Metadata/wefa_metadata.xml,Weir Farm National Historical Park,2015/08/27 00:00:00+00,CT,NE,1888972,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224530,Weir Farm,492352.3984375,5712.69645241467
58,2023/01/03 09:21:30+00,NPS_WASO_LANDS,2023/01/03 09:21:30+00,NPS_WASO_LANDS,14750ecc-db2b-4935-8b39-df70500a91f6,43,MABI,Lands - http://landsnet.nps.gov/tractsnet/documents/MABI/Metadata/mabi_metadata.xml,Marsh-Billings-Rockefeller National Historical Park,2011/09/21 00:00:00+00,VT,NE,1888942,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196723,Marsh - Billings - Rockefeller,4988704.03125,16454.0429385168
